index,adc_raw,adc_volts,adc_read_ns,dac_write_ns,proc_ns,loop_ns
0,3734064,1.112838,29704,22574,52278,56815
1,3763150,1.121506,29352,22519,51871,65019
2,3720935,1.108925,29278,22426,51704,67463
3,3609631,1.075754,29315,22574,51889,66259
4,3434368,1.023522,29260,22555,51815,66148
5,3202438,0.954401,29222,22500,51722,67463
6,2924511,0.871572,29370,22463,51833,66130
7,2612230,0.778505,29222,22537,51759,67518
8,2279096,0.679224,29204,22481,51685,66000
9,1939902,0.578136,29259,22482,51741,66038
10,1609439,0.479650,29296,22444,51740,67425
11,1302022,0.388033,29260,22462,51722,66000
12,1031304,0.307353,29167,22352,51519,67223
13,809415,0.241224,29167,22518,51685,66018
14,645316,0.192319,29389,22444,51833,67537
15,546434,0.162850,29204,22593,51797,66149
16,517283,0.154162,29185,22463,51648,67370
17,559479,0.166738,29278,22519,51797,66093
18,670846,0.199928,29259,22481,51740,67425
19,845851,0.252083,29203,22463,51666,65963
20,1077392,0.321088,29185,22463,51648,65963
21,1355798,0.404059,29278,22407,51685,67389
22,1668487,0.497248,40296,23222,63518,77815
23,2001587,0.596519,29408,22463,51871,56334
24,2340981,0.697667,29167,22574,51741,66055
25,2671200,0.796080,29167,22592,51759,66074
26,2977971,0.887505,29186,22592,51778,67500
27,3248498,0.968128,29240,22537,51777,66074
28,3470752,1.034365,29241,22630,51871,67612
29,3634999,1.083314,29259,22482,51741,66111
30,3733719,1.112735,29259,22556,51815,66111
31,3763022,1.121468,29240,22537,51777,67555
32,3720849,1.108900,29296,22481,51777,66074
33,3609785,1.075800,29297,22500,51797,66112
34,3434667,1.023611,29223,22518,51741,67444
35,3203008,0.954571,29223,22481,51704,66000
36,2925133,0.871758,29333,22500,51833,67537
37,2613030,0.778744,29259,22519,51778,66056
38,2279917,0.679468,29259,22463,51722,67407
39,1940535,0.578325,29370,22463,51833,66222
40,1609772,0.479749,29296,22500,51796,66093
41,1302184,0.388081,29148,22407,51555,67259
42,1031460,0.307399,29352,22388,51740,66037
43,809444,0.241233,29259,22481,51740,67463
44,645301,0.192315,29278,22500,51778,66056
45,546313,0.162814,29333,22630,51963,67741
46,517023,0.154085,29314,22500,51814,66092
47,558960,0.166583,29240,22537,51777,66111
48,670150,0.199720,29334,22518,51852,67556
49,845023,0.251837,29260,22463,51723,66019
50,1076486,0.320818,29278,22481,51759,66092
51,1354514,0.403677,29296,22537,51833,67537
52,1667181,0.496859,29314,22482,51796,66093
53,2000370,0.596157,29240,22519,51759,67463
54,2339685,0.697281,29334,22518,51852,66111
55,2669990,0.795719,29204,22500,51704,66037
56,2976788,0.887152,29241,22482,51723,67408
57,3247406,0.967803,29278,22500,51778,66055
58,3469866,1.034101,29296,22500,51796,67500
59,3634209,1.083079,29222,22500,51722,66000
60,3733151,1.112566,29259,22482,51741,67445
61,3762667,1.121362,29278,22537,51815,66148
62,3720948,1.108929,29333,22500,51833,66111
63,3610089,1.075890,29222,22426,51648,67389
64,3435227,1.023778,29315,22537,51852,66148
65,3203729,0.954786,29185,22482,51667,67389
66,2926104,0.872047,29296,22537,51833,66148
67,2614073,0.779055,29278,22574,51852,67556
68,2281155,0.679837,29296,22500,51796,66092
69,1941942,0.578744,29334,22518,51852,66167
70,1611310,0.480208,29408,22592,52000,67685
71,1303715,0.388537,29315,22444,51759,66111
72,1032725,0.307776,29315,22519,51834,66112
73,810505,0.241549,29278,22574,51852,67555
74,646054,0.192539,29222,22537,51759,66037
75,546696,0.162928,29149,22481,51630,67352
76,517107,0.154110,29148,22611,51759,66037
77,558881,0.166560,29315,22519,51834,66167
78,669809,0.199619,29222,22518,51740,67444
79,844384,0.251646,29203,22537,51740,66111
80,1075576,0.320547,29203,22519,51722,67408
81,1353647,0.403418,29204,22537,51741,66037
82,1666398,0.496625,31648,22760,54408,70093
83,1999556,0.595914,29278,22352,51630,63111
84,2338977,0.697070,29315,22537,51852,67555
85,2669347,0.795527,29314,22519,51833,66130
86,2976407,0.887039,29278,22537,51815,66148
87,3247309,0.967774,29352,22519,51871,67593
88,3469832,1.034091,29222,22574,51796,66092
