index,adc_raw,adc_volts,adc_read_ns,dac_write_ns,proc_ns,loop_ns
0,2500134,0.745098,14222,20722,34944,36074
1,2500134,0.745098,13852,20574,34426,36019
2,2500135,0.745098,13889,20574,34463,35611
3,2500134,0.745098,13908,20592,34500,35648
4,2500135,0.745098,13908,20592,34500,35648
5,2500128,0.745096,13907,20574,34481,35630
6,2500134,0.745098,13926,20555,34481,35648
7,2500128,0.745096,13889,20537,34426,35593
8,2500134,0.745098,13889,20574,34463,35611
9,2500135,0.745098,13926,20629,34555,35722
10,2500134,0.745098,13852,20593,34445,35593
11,2500135,0.745098,13889,20574,34463,35630
12,2500128,0.745096,13926,20555,34481,35629
13,2500134,0.745098,13889,20593,34482,35630
14,2500128,0.745096,13907,20537,34444,35611
15,2500134,0.745098,13926,20592,34518,35685
16,2500135,0.745098,13908,20611,34519,35667
17,2500134,0.745098,13889,20537,34426,35574
18,2500135,0.745098,13907,20537,34444,35611
19,2500128,0.745096,13908,20648,34556,35704
20,2500134,0.745098,13889,20556,34445,35593
21,2500128,0.745096,13945,20574,34519,35685
22,2500134,0.745098,13889,20537,34426,35574
23,2500135,0.745098,13907,20537,34444,35611
24,2500128,0.745096,13907,20556,34463,35630
25,2500134,0.745098,13870,20611,34481,35648
26,2500128,0.745096,13889,20574,34463,35630
27,2500134,0.745098,13963,20611,34574,35722
28,2500128,0.745096,13852,20593,34445,35593
29,2500134,0.745098,13889,20574,34463,35611
30,2500134,0.745098,13926,20612,34538,38667
31,2500128,0.745096,13871,20592,34463,35629
32,2500134,0.745098,13852,20537,34389,35537
33,2500134,0.745098,13889,20593,34482,35649
34,2500128,0.745096,13907,20574,34481,35629
35,2500134,0.745098,13945,20611,34556,35704
36,2500128,0.745096,13926,20574,34500,35648
37,2500134,0.745098,13871,20611,34482,35630
38,2500128,0.745096,13852,20556,34408,35574
39,2500134,0.745098,13926,20574,34500,35648
40,2500135,0.745098,13907,20574,34481,35648
41,2500128,0.745096,13889,20555,34444,35611
42,2500134,0.745098,13926,20592,34518,35667
43,2500135,0.745098,13907,20611,34518,38648
44,2500134,0.745098,13907,20537,34444,35593
45,2500134,0.745098,13870,20593,34463,35630
46,2500128,0.745096,13889,20592,34481,35629
47,2500134,0.745098,13888,20556,34444,35593
48,2500135,0.745098,13926,22777,36703,37870
49,2500135,0.745098,14777,20723,35500,36649
50,2500135,0.745098,13889,20630,34519,35685
51,2500134,0.745098,13926,20593,34519,35667
52,2500135,0.745098,13908,20611,34519,35685
53,2500134,0.745098,13926,20555,34481,35629
54,2500135,0.745098,13926,20629,34555,35704
55,2500134,0.745098,13945,20537,34482,35630
56,2500135,0.745098,14092,20556,34648,35815
57,2500134,0.745098,13908,20555,34463,35629
58,2500128,0.745096,13908,20611,34519,35686
59,2500134,0.745098,13944,20611,34555,35703
60,2500128,0.745096,13926,20648,34574,35723
61,2500134,0.745098,13852,20592,34444,35592
62,2500128,0.745096,13908,20555,34463,35611
63,2500134,0.745098,13889,20556,34445,35612
64,2500135,0.745098,13907,20611,34518,35666
65,2500134,0.745098,13926,20574,34500,35667
66,2500135,0.745098,13908,20611,34519,35667
67,2500159,0.745106,13907,20667,34574,35722
68,2500135,0.745098,13907,20574,34481,35648
69,2500128,0.745096,13945,20518,34463,38574
70,2500134,0.745098,13888,20612,34500,35649
71,2500135,0.745098,13926,20574,34500,35648
72,2500134,0.745098,13926,20592,34518,35666
73,2500135,0.745098,13889,20611,34500,35667
74,2500159,0.745106,13908,20574,34482,35630
75,2500134,0.745098,13926,20593,34519,35667
76,2500128,0.745096,13871,20611,34482,35648
