index,adc_raw,adc_volts,adc_read_ns,dac_write_ns,proc_ns,loop_ns
0,2515176,0.749581,28222,21222,49444,50592
1,2515127,0.749566,27759,21037,48796,69944
2,2515124,0.749565,27796,21074,48870,66926
3,2515116,0.749563,27704,21018,48722,66796
4,2515045,0.749542,27870,21000,48870,66889
5,2515053,0.749544,27852,21056,48908,65945
6,2514998,0.749528,27722,21074,48796,66870
7,2514988,0.749525,27834,21074,48908,66963
8,2514956,0.749515,27852,21074,48926,65944
9,2514926,0.749506,27796,21074,48870,66889
10,2514915,0.749503,27740,21056,48796,66852
11,2514913,0.749503,27908,21055,48963,67018
12,2514979,0.749522,27797,20981,48778,65852
13,2514959,0.749516,27778,21074,48852,66889
14,2514904,0.749500,27834,21000,48834,66852
15,2514950,0.749514,27888,21019,48907,66944
16,2514924,0.749506,27834,21018,48852,66870
17,2514919,0.749504,27889,20981,48870,65852
18,2514916,0.749503,27870,21055,48925,66981
19,2514900,0.749499,27871,21092,48963,67000
20,2514850,0.749484,27797,21037,48834,65908
21,2514849,0.749483,27740,20982,48722,66796
22,2514850,0.749484,27797,20981,48778,66833
23,2514918,0.749504,27814,21037,48851,66907
24,2514904,0.749500,27851,21019,48870,66945
25,2514882,0.749493,27870,21056,48926,65963
26,2514924,0.749506,28222,28685,56907,74703
27,2514911,0.749502,27963,21111,49074,59204
28,2514808,0.749471,27870,21074,48944,66000
29,2514672,0.749431,27723,21074,48797,66852
30,2514769,0.749460,27815,21074,48889,66944
31,2514894,0.749497,27907,21074,48981,67037
32,2514989,0.749525,27852,21092,48944,65981
33,2515033,0.749538,27833,21056,48889,66908
34,2515079,0.749552,27834,21018,48852,66907
35,2515026,0.749536,27889,21093,48982,66093
36,2515005,0.749530,27833,21074,48907,66925
37,2514989,0.749525,27834,21055,48889,66926
38,2515067,0.749548,27852,21056,48908,66019
39,2515017,0.749534,27833,21074,48907,66944
40,2515053,0.749544,27833,21037,48870,66889
41,2515107,0.749560,27834,21092,48926,66944
42,2515060,0.749546,27908,21055,48963,66037
43,2515033,0.749538,27834,21129,48963,67037
44,2515019,0.749534,27797,21018,48815,66889
45,2515031,0.749538,27815,21129,48944,66018
46,2514990,0.749526,27834,21074,48908,66945
47,2515053,0.749544,27852,21092,48944,67018
48,2514165,0.749280,27833,21093,48926,65982
49,2513282,0.749016,27796,21186,48982,67037
50,2513322,0.749028,27833,21055,48888,66925
51,2513265,0.749011,27833,21092,48925,66000
52,2513243,0.749005,27815,21037,48852,66908
53,2513272,0.749014,27852,21074,48926,66981
54,2513224,0.748999,27833,21519,49352,66389
55,2513276,0.749015,27833,21056,48889,66926
56,2513242,0.749005,27870,21037,48907,65944
57,2513256,0.749009,27815,21056,48871,66945
58,2513312,0.749025,28685,21037,49722,67796
59,2513347,0.749036,27778,21055,48833,65870
60,2513325,0.749029,27814,21056,48870,66889
61,2513338,0.749033,27797,21074,48871,65926
62,2513335,0.749032,27815,21055,48870,66944
63,2513285,0.749017,27833,21074,48907,66944
64,2513378,0.749045,27796,21056,48852,65871
65,2513263,0.749011,27537,20833,48370,66407
66,2513317,0.749027,27463,20629,48092,67111
67,2513329,0.749031,27426,20667,48093,66056
68,2513337,0.749033,27370,21666,49036,67962
69,2513297,0.749021,27463,20648,48111,65037
70,2513314,0.749026,27426,20629,48055,66963
71,2513191,0.748989,27426,20722,48148,67074
72,2513309,0.749025,27426,20574,48000,65926
73,2513332,0.749031,27462,20630,48092,67000
74,2513378,0.749045,27407,20630,48037,66963
75,2513365,0.749041,27426,20629,48055,65981
76,2513340,0.749034,27445,20629,48074,67000
77,2513300,0.749022,27463,20630,48093,66982
78,2513260,0.749010,27444,20722,48166,67055
79,2513284,0.749017,27444,20611,48055,65963
80,2513260,0.749010,27482,20592,48074,66981
81,2513237,0.749003,27407,20648,48055,65963
82,2513267,0.749012,27463,20629,48092,67000
83,2513240,0.749004,27445,20629,48074,67000
84,2513223,0.748999,27426,20667,48093,66019
85,2513215,0.748997,27518,20593,48111,67037
86,2513189,0.748989,27982,20648,48630,67296
87,2513200,0.748992,27463,20629,48092,66018
88,2513185,0.748988,27445,20611,48056,66982
89,2513235,0.749002,27425,20741,48166,66092
90,2513233,0.749002,27444,20612,48056,66945
91,2513206,0.748994,27444,20611,48055,66962
92,2513191,0.748989,27389,20629,48018,65926
93,2513222,0.748999,27315,20574,47889,66778
94,2513242,0.749005,27463,20611,48074,66963
95,2513274,0.749014,27426,20611,48037,66944
96,2513577,0.749104,27444,20593,48037,65945
97,2513213,0.748996,27463,20611,48074,66981
98,2513134,0.748972,27444,20593,48037,66963
99,2513154,0.748978,27371,20629,48000,66907
100,2513202,0.748993,27463,20593,48056,65982
101,2513229,0.749001,27426,20518,47944,66851
102,2513179,0.748986,27407,20611,48018,66926
103,2513235,0.749002,27426,20611,48037,65963
104,2513279,0.749016,27407,20593,48000,66889
105,2513238,0.749003,27537,20611,48148,67055
106,2513225,0.749000,27444,20630,48074,66982
107,2513215,0.748997,27370,20611,47981,65907
108,2513235,0.749002,27445,20611,48056,66982
109,2513213,0.748996,27370,20611,47981,66888
110,2513236,0.749003,27463,20630,48093,66019
111,2513212,0.748996,27426,20629,48055,66944
112,2513262,0.749011,27426,20593,48019,66945
113,2513230,0.749001,27389,20611,48000,65944
114,2513195,0.748991,27463,20611,48074,67000
115,2513214,0.748996,27445,20555,48000,66907
116,2513263,0.749011,27426,20518,47944,66833
117,2513254,0.749008,27426,20593,48019,65945
118,2513289,0.749019,27463,20537,48000,66926
119,2513296,0.749021,27462,20593,48055,66944
120,2513224,0.748999,27445,20537,47982,66889
121,2513310,0.749025,27481,20574,48055,65981
122,2513185,0.748988,27389,20630,48019,66945
123,2513245,0.749005,27407,20611,48018,66944
124,2513269,0.749013,27463,20519,47982,66889
125,2513251,0.749007,27444,20630,48074,66000
126,2513323,0.749029,27426,20592,48018,66907
127,2513320,0.749028,27426,20611,48037,66963
128,2513283,0.749017,27444,20611,48055,65944
129,2513246,0.749006,27370,20630,48000,66945
130,2513143,0.748975,27445,20592,48037,66944
131,2513240,0.749004,27352,20611,47963,66870
132,2513256,0.749009,27445,20592,48037,65963
133,2513188,0.748988,27463,20556,48019,66908
134,2513246,0.749006,27389,20611,48000,66888
135,2513216,0.748997,27445,20518,47963,66852
136,2513277,0.749015,27444,20593,48037,65963
137,2513209,0.748995,27389,20611,48000,66889
138,2513189,0.748989,27426,20611,48037,66944
139,2513174,0.748984,27445,20555,48000,66889
140,2513198,0.748991,27407,20574,47981,65907
141,2513239,0.749004,27389,20592,47981,66926
142,2513271,0.749013,27407,20574,47981,66889
143,2513272,0.749014,27407,20556,47963,66889
144,2513302,0.749022,27407,20593,48000,65963
145,2513253,0.749008,27333,20593,47926,66889
146,2513216,0.748997,27629,20611,48240,67425
147,2513222,0.748999,27426,20629,48055,65963
148,2513150,0.748977,27371,20629,48000,66926
149,2513199,0.748992,27389,20630,48019,65945
150,2513193,0.748990,27389,20648,48037,66944
151,2513227,0.749000,27426,20574,48000,66926
152,2513239,0.749004,27370,20723,48093,67000
153,2513433,0.749061,27425,20649,48074,66000
154,2514821,0.749475,27445,20611,48056,66944
155,2514724,0.749446,27445,20648,48093,67000
156,2514743,0.749452,27389,20611,48000,65907
157,2514751,0.749454,27426,20611,48037,66926
158,2514820,0.749475,27352,20629,47981,66870
159,2514871,0.749490,27426,20574,48000,66889
160,2514810,0.749472,27407,20593,48000,65926
161,2514800,0.749469,27481,20574,48055,66981
162,2514847,0.749483,27407,20611,48018,66926
163,2514815,0.749473,27445,20555,48000,65926
164,2514853,0.749485,27389,20648,48037,66944
165,2514835,0.749479,27371,20629,48000,66889
166,2514858,0.749486,27389,20611,48000,66926
167,2514823,0.749476,27426,20611,48037,65963
168,2514785,0.749464,27463,20592,48055,66944
169,2514908,0.749501,27444,20537,47981,66889
170,2514805,0.749470,27444,20630,48074,66982
171,2514766,0.749459,27370,20611,47981,65907
172,2514802,0.749469,27389,20630,48019,66926
173,2514828,0.749477,27445,20611,48056,66963
174,2514766,0.749459,27407,20630,48037,65944
175,2514798,0.749468,27444,20593,48037,66926
176,2514802,0.749469,27426,20630,48056,66963
177,2514829,0.749478,27389,20537,47926,66852
178,2514820,0.749475,27371,20611,47982,65907
179,2514899,0.749498,27333,20593,47926,66815
180,2514828,0.749477,27426,20574,48000,66888
181,2514782,0.749464,27370,20574,47944,66852
182,2514822,0.749475,27425,20630,48055,66963
183,2514826,0.749477,27426,20537,47963,65889
184,2514782,0.749464,27482,20592,48074,66981
185,2514829,0.749478,27408,20555,47963,66889
186,2514849,0.749483,27388,20611,47999,66907
187,2514843,0.749482,27389,20630,48019,65945
188,2514812,0.749472,27426,20574,48000,66907
189,2514813,0.749473,27426,20592,48018,66907
190,2514810,0.749472,27445,20611,48056,66945
191,2514792,0.749467,27407,20630,48037,65963
192,2514832,0.749478,27426,20593,48019,66926
193,2514870,0.749490,27463,20592,48055,66962
194,2514856,0.749486,27426,20630,48056,65982
195,2514833,0.749479,27408,20592,48000,66870
196,2514836,0.749480,27389,20555,47944,66833
197,2514862,0.749487,27481,20630,48111,67019
198,2514847,0.749483,27426,20630,48056,65963
199,2514918,0.749504,27408,20629,48037,66944
200,2514914,0.749503,27333,20611,47944,66852
201,2514858,0.749486,27444,20593,48037,65963
202,2514874,0.749491,27463,20629,48092,66981
203,2514858,0.749486,27388,20519,47907,66815
204,2514917,0.749504,27352,20574,47926,66852
205,2514843,0.749482,27370,20612,47982,66889
206,2514806,0.749471,27797,20555,48352,66592
207,2514781,0.749463,27445,20611,48056,65963
208,2514774,0.749461,27407,20611,48018,66944
209,2514718,0.749444,27481,20593,48074,66982
210,2514778,0.749462,27426,20630,48056,66000
211,2514784,0.749464,27462,20612,48074,67000
212,2514774,0.749461,27426,20629,48055,66962
213,2514818,0.749474,27426,20611,48037,65982
214,2514839,0.749481,27667,20611,48278,67185
215,2514832,0.749478,27481,20630,48111,67000
216,2514819,0.749475,27463,20592,48055,65981
217,2514858,0.749486,27445,20537,47982,66871
218,2514866,0.749489,27352,20611,47963,66870
219,2514897,0.749498,27482,20555,48037,66944
220,2514911,0.749502,27444,20611,48055,65963
221,2514892,0.749496,27426,20592,48018,66907
222,2514816,0.749474,27537,20593,48130,67056
223,2514306,0.749322,27481,20593,48074,66000
224,2513212,0.748996,27445,20555,48000,66907
225,2513175,0.748985,27500,20630,48130,67056
226,2513273,0.749014,27388,20593,47981,65907
227,2513242,0.749005,27389,20611,48000,66907
228,2513287,0.749018,27352,20574,47926,66852
229,2513313,0.749026,27463,20593,48056,66963
230,2513268,0.749012,27445,20592,48037,65944
231,2513249,0.749007,27537,20629,48166,67074
232,2513280,0.749016,27426,20592,48018,66963
233,2513274,0.749014,27482,20611,48093,66019
234,2513255,0.749008,27444,20593,48037,66944
235,2513217,0.748997,27500,20611,48111,67000
236,2513329,0.749031,27463,20593,48056,65963
237,2513285,0.749017,27444,20630,48074,67000
238,2513242,0.749005,27426,20556,47982,66889
239,2513257,0.749009,27482,20574,48056,65981
240,2513211,0.748995,27407,20611,48018,66944
241,2513308,0.749024,27408,20592,48000,66889
242,2513270,0.749013,27444,20593,48037,66926
243,2513309,0.749025,27482,20574,48056,65963
244,2513235,0.749002,27482,20611,48093,67000
245,2513246,0.749006,27389,20611,48000,66926
246,2513291,0.749019,27426,20556,47982,65926
247,2513270,0.749013,27500,20629,48129,67036
248,2513254,0.749008,27426,20592,48018,66926
249,2513253,0.749008,27463,20537,48000,66908
250,2513247,0.749006,27444,20593,48037,65963
251,2513232,0.749002,27463,20592,48055,66962
252,2513243,0.749005,27407,20611,48018,66926
253,2513272,0.749014,27500,20630,48130,66056
254,2513265,0.749011,27389,20574,47963,66833
255,2513255,0.749008,27426,20555,47981,66870
256,2513265,0.749011,27426,20611,48037,66945
257,2513385,0.749047,27444,20630,48074,66000
258,2513272,0.749014,27371,20555,47926,66814
259,2513242,0.749005,27463,20555,48018,66926
260,2513191,0.748989,27444,20556,48000,66908
261,2513205,0.748994,27444,20611,48055,65962
262,2513169,0.748983,27463,20685,48148,67037
263,2513242,0.749005,27408,20629,48037,66926
264,2513225,0.749000,27370,20574,47944,65852
265,2513232,0.749002,27463,20611,48074,66981
266,2513194,0.748990,30908,21296,52204,103667
267,2513185,0.748988,28444,20852,49296,50463
268,2513089,0.748959,28037,20759,48796,49981
269,2513075,0.748955,27408,20648,48056,63056
270,2513034,0.748943,27389,20574,47963,65907
271,2513133,0.748972,27481,20667,48148,67111
272,2513190,0.748989,27407,20630,48037,67000
273,2513370,0.749043,27352,20629,47981,65944
274,2513215,0.748997,27389,20666,48055,67000
275,2513238,0.749003,27389,20630,48019,66982
276,2513277,0.749015,27352,20629,47981,65944
277,2513265,0.749011,27351,20630,47981,66926
278,2513282,0.749016,27500,20648,48148,67111
279,2513193,0.748990,27426,20630,48056,66037
280,2513229,0.749001,27426,20611,48037,66981
281,2513261,0.749010,27426,20592,48018,66963
282,2513281,0.749016,27463,20574,48037,65982
283,2513260,0.749010,27407,20611,48018,66944
284,2513230,0.749001,27426,20611,48037,66963
285,2513267,0.749012,27445,20611,48056,66000
286,2513232,0.749002,27445,20611,48056,66963
287,2513259,0.749010,27388,20612,48000,66926
288,2513295,0.749020,27426,20611,48037,66962
289,2513267,0.749012,27407,20593,48000,65945
290,2513248,0.749006,27426,20593,48019,66963
291,2513324,0.749029,27370,20556,47926,66870
292,2513297,0.749021,27278,20593,47871,65852
293,2513319,0.749028,27371,20629,48000,66944
294,2513279,0.749016,27537,20611,48148,67093
295,2513283,0.749017,27333,20611,47944,65907
296,2513351,0.749037,27407,20648,48055,67018
297,2513296,0.749021,27444,20611,48055,67000
298,2513326,0.749030,27408,20611,48019,66982
299,2513237,0.749003,27444,20556,48000,65963
300,2513316,0.749027,27388,20612,48000,66963
301,2513318,0.749027,27389,20648,48037,66999
302,2513332,0.749031,27408,20611,48019,65982
303,2513330,0.749031,27463,20593,48056,67000
304,2513297,0.749021,27445,20611,48056,67000
305,2513415,0.749056,27445,20703,48148,66092
306,2513330,0.749031,27351,20593,47944,66889
307,2513298,0.749021,27389,20611,48000,66926
308,2513302,0.749022,27463,20574,48037,65963
309,2513354,0.749038,27444,20611,48055,66981
310,2513360,0.749040,27370,20611,47981,66926
311,2513275,0.749014,27389,20611,48000,65963
312,2513280,0.749016,27444,20593,48037,66963
313,2513279,0.749016,27334,20611,47945,66889
314,2513252,0.749008,27426,20611,48037,66981
315,2513288,0.749018,27444,20593,48037,66000
316,2513282,0.749016,27426,20555,47981,66944
317,2513319,0.749028,27426,20629,48055,67037
318,2513267,0.749012,27407,20611,48018,65963
319,2513264,0.749011,27407,20574,47981,66907
320,2513313,0.749026,27444,20611,48055,67000
321,2513377,0.749045,27463,20611,48074,66019
322,2513313,0.749026,27389,20630,48019,66963
323,2513333,0.749032,27444,20611,48055,66981
324,2513278,0.749015,27462,20612,48074,66019
325,2513302,0.749022,27352,20723,48075,67000
326,2513340,0.749034,27740,22574,50314,68536
327,2513318,0.749027,27444,20519,47963,64908
328,2513237,0.749003,27352,20611,47963,66889
329,2513260,0.749010,27407,20574,47981,65925
330,2513276,0.749015,27445,20500,47945,66871
