index,adc_raw,adc_volts,adc_read_ns,dac_write_ns,proc_ns,loop_ns
0,2500193,0.745116,16370,3500,19870,21148
1,2515350,0.749633,16389,3463,19852,21130
2,2515353,0.749634,16370,3445,19815,50815
3,2515292,0.749616,16370,3445,19815,66759
4,2515337,0.749629,16370,3445,19815,66685
5,2515271,0.749609,16371,3463,19834,66704
6,2515259,0.749606,16370,3445,19815,66648
7,2515189,0.749585,16351,3445,19796,66722
8,2515170,0.749579,16370,3463,19833,66666
9,2515185,0.749584,16352,3482,19834,66723
10,2515166,0.749578,16370,3463,19833,66666
11,2515198,0.749588,16351,3463,19814,66722
12,2515152,0.749574,16352,3482,19834,66760
13,2515144,0.749571,16370,3463,19833,66722
14,2515088,0.749555,16352,3463,19815,66648
15,2515085,0.749554,16352,3463,19815,66648
16,2515050,0.749543,16333,3482,19815,66704
17,2514855,0.749485,16315,3481,19796,65777
18,2514840,0.749481,16315,3463,19778,66612
19,2514812,0.749472,16371,3463,19834,66759
20,2514821,0.749475,16333,3463,19796,66703
21,2514815,0.749473,16352,3482,19834,66723
22,2514820,0.749475,16352,3482,19834,66759
23,2514858,0.749486,16352,3463,19815,66685
24,2514824,0.749476,16371,3444,19815,66685
25,2514802,0.749469,16333,3463,19796,66722
26,2514730,0.749448,16352,3444,19796,66648
27,2514810,0.749472,16352,3445,19797,66723
28,2514779,0.749463,16389,3463,19852,66648
29,2514740,0.749451,16370,3463,19833,66703
30,2514733,0.749449,16351,3463,19814,66685
31,2514727,0.749447,16352,3463,19815,66704
32,2514773,0.749461,16334,3463,19797,66667
33,2514769,0.749460,16370,3463,19833,66759
34,2514763,0.749458,16333,3463,19796,66685
35,2514704,0.749440,16352,3463,19815,66722
36,2514726,0.749447,16370,3463,19833,66667
37,2514722,0.749446,16352,3463,19815,66722
38,2514790,0.749466,16315,3463,19778,66685
39,2514827,0.749477,16351,3482,19833,65778
40,2514797,0.749468,16389,3463,19852,66704
41,2514824,0.749476,16351,3445,19796,66722
42,2514760,0.749457,16370,3444,19814,66666
43,2514772,0.749461,16334,3463,19797,66723
44,2514756,0.749456,16333,3463,19796,66666
45,2514765,0.749458,16370,3445,19815,66741
46,2514770,0.749460,16370,3445,19815,66704
47,2514745,0.749453,16352,3463,19815,66685
48,2514771,0.749460,16351,3463,19814,66703
49,2514774,0.749461,16370,3445,19815,66723
50,2514718,0.749444,16407,3463,19870,66777
51,2514758,0.749456,16389,3462,19851,66722
52,2514708,0.749441,16334,3481,19815,66704
53,2514715,0.749444,16371,3463,19834,66704
54,2514758,0.749456,16370,3463,19833,66722
55,2514782,0.749464,16389,3463,19852,66704
56,2514746,0.749453,16370,3463,19833,66703
57,2514825,0.749476,16371,3481,19852,66778
58,2514774,0.749461,16352,3463,19815,65722
59,2514758,0.749456,16370,3463,19833,66722
60,2514794,0.749467,16371,3463,19834,66686
61,2514790,0.749466,16333,3482,19815,66685
62,2514770,0.749460,16351,3482,19833,66722
63,2514803,0.749470,16408,3463,19871,66741
64,2514856,0.749486,16352,3444,19796,66703
65,2514804,0.749470,16388,3463,19851,66759
66,2514742,0.749452,16371,3444,19815,66741
67,2514776,0.749462,16407,3463,19870,66685
68,2514705,0.749441,16352,3444,19796,66685
69,2514762,0.749458,16389,3445,19834,66723
70,2514783,0.749464,16370,3445,19815,66759
71,2514770,0.749460,16389,3444,19833,66722
72,2514742,0.749452,16352,3463,19815,66704
73,2514768,0.749459,16370,3463,19833,66740
74,2514696,0.749438,16352,3481,19833,65741
75,2514724,0.749446,16371,3463,19834,67241
76,2514767,0.749459,16333,3463,19796,66703
77,2514683,0.749434,16371,3463,19834,66723
78,2514700,0.749439,16352,3445,19797,66685
79,2514730,0.749448,16333,3482,19815,66722
80,2514717,0.749444,16333,3482,19815,66741
81,2514817,0.749474,16352,3463,19815,66685
82,2514656,0.749426,16314,3463,19777,66666
83,2514724,0.749446,16352,3445,19797,66686
84,2514729,0.749448,16352,3463,19815,65796
85,2514754,0.749455,16408,3444,19852,66759
86,2514729,0.749448,16370,3445,19815,66741
87,2514682,0.749434,16370,3444,19814,66666
88,2514744,0.749452,16352,3444,19796,66704
89,2514793,0.749467,16371,3444,19815,66648
90,2514736,0.749450,16389,3444,19833,66722
91,2514721,0.749445,16370,3463,19833,66722
92,2514672,0.749431,16352,3445,19797,66723
93,2514768,0.749459,16351,3482,19833,66759
94,2514739,0.749451,16352,3481,19833,66722
95,2514735,0.749450,16352,3463,19815,66685
96,2514883,0.749494,16352,3463,19815,66741
97,2514961,0.749517,16315,3481,19796,66666
98,2514975,0.749521,16333,3463,19796,66704
99,2514894,0.749497,16351,3463,19814,66722
100,2514924,0.749506,16352,3463,19815,66741
101,2514872,0.749490,16334,3463,19797,65667
102,2514886,0.749495,16333,3463,19796,66703
103,2514936,0.749509,16370,3463,19833,66685
104,2514953,0.749514,16333,3463,19796,66704
105,2514910,0.749502,16371,3444,19815,66685
106,2514887,0.749495,16333,3463,19796,66722
107,2514902,0.749499,16389,3444,19833,66704
108,2514926,0.749506,16333,3463,19796,66685
109,2514895,0.749497,16370,3444,19814,66685
110,2514904,0.749500,16352,3444,19796,66704
111,2514924,0.749506,16333,3463,19796,66685
112,2514915,0.749503,16370,3463,19833,66704
113,2514763,0.749458,16352,3463,19815,66685
114,2514809,0.749472,16389,3463,19852,66722
115,2514785,0.749464,16333,3500,19833,66741
116,2514805,0.749470,16371,3463,19834,66741
117,2514823,0.749476,16371,3463,19834,66722
118,2514832,0.749478,16389,3463,19852,66759
119,2514823,0.749476,16334,3463,19797,66741
120,2514822,0.749475,16333,3463,19796,66685
121,2514856,0.749486,16333,3463,19796,66703
122,2514747,0.749453,16333,3445,19778,65686
123,2514828,0.749477,16371,3463,19834,66722
124,2514796,0.749468,16333,3463,19796,66703
125,2514817,0.749474,16370,3463,19833,66667
126,2514830,0.749478,16370,3445,19815,66704
127,2514784,0.749464,16314,3463,19777,66592
128,2514787,0.749465,16352,3444,19796,66648
129,2514843,0.749482,16352,3463,19815,66667
130,2514763,0.749458,16407,3463,19870,66759
131,2514817,0.749474,16352,3444,19796,66685
132,2514863,0.749488,16370,3445,19815,66760
133,2514832,0.749478,16334,3481,19815,66740
134,2514878,0.749492,16333,3463,19796,66741
135,2514791,0.749466,16389,3463,19852,67167
136,2514835,0.749479,16389,3463,19852,65759
137,2514742,0.749452,16370,3481,19851,66703
138,2514639,0.749421,16352,3463,19815,66686
139,2514674,0.749431,16352,3463,19815,66703
140,2514678,0.749433,16351,3463,19814,66685
141,2514773,0.749461,16315,3463,19778,66686
142,2513858,0.749188,16334,3463,19797,66685
143,2513260,0.749010,16315,3444,19759,66629
144,2513328,0.749030,16352,3463,19815,66704
145,2513313,0.749026,16352,3463,19815,66667
146,2513304,0.749023,16352,3500,19852,66740
147,2513204,0.748993,16370,3463,19833,66704
148,2513214,0.748996,16389,3463,19852,66685
149,2513207,0.748994,16371,3444,19815,66722
150,2513215,0.748997,16370,3445,19815,66630
151,2513220,0.748998,16333,3463,19796,66722
152,2513223,0.748999,16371,3444,19815,66648
153,2513173,0.748984,16351,3463,19814,66722
154,2513182,0.748987,16370,3463,19833,66667
155,2513249,0.749007,16352,3481,19833,66759
156,2513235,0.749002,16333,3463,19796,66722
157,2513201,0.748992,16370,3482,19852,66723
158,2513190,0.748989,16370,3463,19833,66740
159,2513195,0.748991,16333,3463,19796,66685
160,2513260,0.749010,16315,3463,19778,65723
161,2513152,0.748978,16371,3463,19834,66722
